Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
329,2140.641,36259,30353.251,5905.749,35852.161
330,2147.147,36543,30417.793,6125.207,35934.775
331,2153.654,35744,30404.884,5339.116,35918.252
332,2160.160,36212,30586.064,5625.936,36150.162
333,2166.667,36743,30846.611,5896.389,36483.662
334,2173.173,37323,31138.355,6184.645,36857.094
335,2179.680,37934,31441.060,6492.940,37244.556
336,2186.186,38552,31722.210,6829.790,37604.429
337,2192.693,38199,31873.052,6325.948,37797.507
338,2199.199,38768,32104.014,6663.986,38093.138
339,2205.706,39239,32311.428,6927.572,38358.628
340,2212.212,39576,32449.153,7126.847,38534.916
341,2218.719,39761,32501.090,7259.910,38601.396
342,2225.225,39788,32456.051,7331.949,38543.746
343,2231.732,39161,32259.501,6901.499,38292.161
344,2238.238,38978,32040.873,6937.127,38012.317
345,2244.745,38664,31756.704,6907.296,37648.581
346,2251.251,38216,31389.118,6826.882,37178.071
347,2257.758,37631,30944.591,6686.409,36609.077
348,2264.264,36913,30434.138,6478.862,35955.696
349,2270.771,36084,29874.231,6209.769,35239.016
350,2277.277,35266,29294.289,5971.711,34496.690
351,2283.784,34405,28719.880,5685.120,33761.447
352,2290.290,33570,28157.560,5412.440,33041.677
353,2296.797,32801,27627.734,5173.266,32363.500
354,2303.303,32125,27147.846,4977.154,31749.243
355,2309.810,31554,26731.880,4822.120,31216.806
356,2316.316,31094,26391.349,4702.651,30780.927
357,2322.823,30742,26135.291,4606.709,30453.173
358,2329.329,30841,26005.048,4835.952,30286.461
359,2335.836,30701,25936.468,4764.532,30198.679
360,2342.342,30653,25962.318,4690.682,30231.767
361,2348.849,30703,26091.915,4611.085,30397.651
362,2355.355,30865,26335.995,4529.005,30710.074
363,2361.862,31156,26706.070,4449.930,31183.770
364,2368.368,31604,27214.608,4389.392,31834.698
365,2374.875,32244,27873.561,4370.439,32678.158
366,2381.381,33663,28741.555,4921.445,33789.190
367,2387.888,34805,29696.138,5108.862,35011.057
368,2394.394,36178,30780.796,5397.204,36399.419
369,2400.901,37760,31987.165,5772.835,37943.571
370,2407.407,39517,33281.702,6235.298,39600.578
371,2413.914,41398,34632.106,6765.894,41329.095
372,2420.420,43340,36000.900,7339.100,43081.152
373,2426.927,45276,37347.859,7928.141,44805.260
374,2433.433,47124,38620.877,8503.123,46434.723
375,2439.940,48802,39788.165,9013.835,47928.851
376,2446.446,50626,40849.255,9776.745,49287.046
377,2452.953,51623,41661.496,9961.504,50326.715
378,2459.459,52297,42258.707,10038.293,51091.145
379,2465.966,52682,42634.031,10047.969,51571.559
380,2472.472,52822,42786.618,10035.382,51766.871
381,2478.979,52740,42707.257,10032.743,51665.289
382,2485.485,52415,42401.377,10013.623,51273.762
383,2491.992,51800,41867.185,9932.815,50589.997
384,2498.498,50857,41102.103,9754.897,49610.692
385,2505.005,49576,40129.327,9446.673,48365.539
386,2511.512,47993,38972.534,9020.466,46884.843
387,2518.018,46172,37663.400,8508.600,45209.152
388,2524.525,43743,36193.598,7549.402,43327.806
389,2531.031,41695,34712.718,6982.282,41432.280
390,2537.538,39644,33213.653,6430.347,39513.476
391,2544.044,37650,31733.350,5916.650,37618.688
392,2550.551,35758,30305.354,5452.646,35790.853
393,2557.057,34009,28959.473,5049.527,34068.125
394,2563.564,32433,27719.542,4713.458,32481.014
395,2570.070,31046,26602.401,4443.599,31051.074
396,2576.577,29861,25626.467,4234.533,29801.878
397,2583.083,28875,24785.538,4089.462,28725.489
398,2589.590,28079,24080.039,3998.961,27822.450
399,2596.096,27463,23506.229,3956.771,27087.973
400,2602.603,27008,23057.405,3950.595,26513.479
401,2609.109,26691,22725.596,3965.404,26088.764
402,2615.616,26489,22503.248,3985.752,25804.158
403,2622.122,26378,22384.197,3993.803,25651.772
404,2628.629,26300,22361.270,3938.730,25622.425
405,2635.135,26362,22448.760,3913.240,25734.413
406,2641.642,26521,22646.054,3874.946,25986.949
407,2648.148,26799,22960.928,3838.072,26389.988
408,2654.655,27229,23403.323,3825.677,26956.254
409,2661.161,27846,23983.019,3862.981,27698.264
410,2667.668,28675,24706.697,3968.303,28624.572
411,2674.174,29731,25576.409,4154.591,29737.804
412,2680.681,31012,26588.089,4423.911,31032.754
413,2687.187,32501,27728.027,4772.973,32491.875
414,2693.694,34170,28976.234,5193.766,34089.579
415,2700.200,35986,30306.368,5679.632,35792.151
416,2706.707,37910,31686.627,6223.373,37558.882
417,2713.213,39893,33080.728,6812.272,39343.332
418,2719.720,41870,34449.023,7420.977,41094.749
419,2726.226,43760,35750.245,8009.755,42760.314
420,2732.733,45469,36943.968,8525.032,44288.279
421,2739.239,46914,37995.799,8918.201,45634.623
422,2745.746,48038,38881.227,9156.773,46767.971
423,2752.252,48831,39589.510,9241.490,47674.572
424,2758.759,49329,40123.764,9205.236,48358.418
425,2765.265,49597,40497.957,9099.043,48837.385
